SpatialDim_es,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Guyana,109.662,107.87,106.798,107.852,105.22,102.276,98.17,96.687,95.236,91.83,91.116,89.608,87.54,84.919,82.172,80.478,78.026,75.301,74.269,73.888,73.404,71.979,70.484,69.664,68.995,67.801,66.556,64.636,63.071,61.523
Haití,74.355,75.421,76.016,76.333,76.999,76.165,72.865,70.754,68.179,66.984,66.881,67.325,65.525,64.373,63.865,62.688,60.962,61.256,59.297,57.571,56.276,55.897,55.628,54.556,54.241,53.643,52.545,51.837,51.19,50.519
Honduras,127.981,128.792,128.075,128.282,125.774,123.567,120.47,116.121,111.749,108.406,104.158,101.141,97.358,94.706,91.994,89.482,86.963,84.451,81.681,79.562,77.993,76.868,75.341,74.666,73.802,72.874,71.972,71.333,70.331,69.554
Islas Caimán,51.915,60.119,56.608,50.761,54.437,53.707,52.077,45.227,42.224,44.503,45.95,41.453,38.426,35.493,29.878,27.899,24.053,21.621,17.996,17.117,13.044,12.632,10.876,11.153,11.666,15.831,11.74,10.893,9.992,9.155
Islas Turcas y Caicos,41.736,37.142,34.285,32.168,31.035,30.911,31.686,30.938,30.124,29.075,27.823,26.1,24.905,23.676,21.774,20.498,20.132,20.359,20.328,19.67,19.653,19.518,18.759,17.856,17.137,17.15,17.148,16.551,15.933,15.465
Islas Vírgenes (EE. UU.),73.498,69.303,77.372,70.841,63.229,57.292,58.244,55.551,52.273,53.959,51.366,53.737,54.249,56.027,54.41,52.05,50.612,44.97,42.395,39.631,36.997,33.655,33.116,32.406,31.85,31.396,31.244,29.905,28.777,27.79
Islas Vírgenes Británicas,43.529,45.218,51.519,34.915,43.64,45.401,33.944,26.637,28.268,33.766,28.028,24.168,25.507,24.046,21.697,20.043,21.262,17.238,16.32,18.942,17.99,14.015,11.682,12.915,13.661,14.116,14.482,14.098,13.676,13.433
Jamaica,97.751,92.383,91.028,88.956,83.9,74.835,73.052,70.518,69.101,68.767,66.019,65.782,59.595,58.165,56.882,52.838,52.6,52.798,50.954,46.678,45.715,41.868,38.554,35.232,33.952,33.313,32.764,32.021,31.596,31.079
Martinica,27.408,27.507,27.748,27.933,29.12,30.139,30.363,28.701,25.87,21.8,19.649,19.342,19.361,19.774,19.913,19.638,19.652,20.12,18.495,16.377,13.652,13.243,13.017,11.894,11.43,11.6,11.545,11.105,10.699,10.288
Montserrat,49.573,39.367,32.038,20.178,22.886,27.531,42.671,36.231,32.546,35.656,37.977,40.32,42.14,43.197,42.151,40.579,42.324,47.373,47.983,49.326,47.411,48.508,49.847,51.509,51.723,51.029,50.332,50.18,50.575,51.266
México,77.912,76.705,75.349,74.451,74.309,73.673,73.423,72.706,72.673,72.839,72.534,71.176,72.318,74.09,75.355,75.329,76.46,76.744,76.355,72.893,67.585,64.845,63.587,61.293,58.391,57.865,54.369,53.693,53.201,52.726
Nicaragua,127.574,124.062,118.874,117.641,116.289,113.855,112.328,110.433,108.971,106.659,104.654,102.927,101.112,99.373,98.368,97.947,96.792,96.372,95.083,94.226,93.552,91.879,90.951,89.65,88.623,87.361,85.648,83.964,82.473,81.115
Panamá,90.382,89.746,92.253,93.834,94.529,93.293,93.653,90.625,90.533,92.801,90.582,88.585,89.135,91.341,92.85,91.622,93.352,93.25,92.149,90.182,86.428,81.589,78.616,74.96,71.789,70.838,69.912,68.49,67.286,66.2
Paraguay,90.615,85.542,83.468,81.583,81.046,80.563,77.586,76.158,77.101,76.36,75.106,75.196,74.661,75.844,76.455,76.263,76.45,76.649,76.883,76.878,76.163,75.452,73.784,73.67,72.448,71.302,70.347,69.916,69.598,69.251
Perú,75.353,77.412,77.343,75.684,74.175,74.182,70.947,68.76,66.719,68.165,68.491,68.787,67.859,68.086,66.018,64.919,65.287,64.994,63.876,62.668,61.571,60.973,60.209,59.457,58.808,58.053,56.756,56.091,55.775,55.343
Puerto Rico,77.212,79.171,82.864,78.815,76.538,74.114,69.008,63.53,60.542,61.815,61.049,59.118,57.335,55.13,55.031,52.457,51.783,48.825,44.376,40.231,34.471,30.451,26.964,20.052,21.856,18.962,18.926,17.705,16.79,15.944
República Dominicana,113.864,113.015,111.364,110.02,111.036,112.23,112.017,110.884,109.873,105.859,103.28,101.253,102.863,105.496,104.701,109.433,109.026,106.089,100.151,97.477,95.116,91.817,87.909,83.874,78.455,68.278,65.629,63.198,60.359,57.941
Saint Kitts y Nevis,68.964,67.828,69.993,71.388,72.675,71.544,67.656,63.815,60.864,58.225,55.716,53.323,50.696,49.141,47.745,46.161,45.142,43.438,42.27,41.802,41.586,41.64,41.163,40.66,40.289,39.388,38.154,36.756,36.123,36.234
San Vicente y las Granadinas,85.716,80.984,79.842,77.334,77.19,77.067,74.377,73.74,71.255,67.632,64.859,63.434,63.173,64.592,67.32,65.682,64.403,64.478,63.243,61.615,57.221,53.897,52.185,50.273,49.592,48.417,47.871,46.51,45.213,44.192
Santa Lucía,84.444,75.785,69.482,62.849,58.654,57.579,59.389,55.522,52.936,50.923,47.153,45.694,45.207,42.173,41.246,40.43,39.74,39.099,38.761,40.487,39.705,39.327,38.726,38.533,38.493,37.408,36.918,36.264,35.764,35.286
Sint Maarten (Países Bajos),52.157,50.699,47.403,42.776,40.276,38.747,35.696,33.896,33.95,33.871,34.773,36.129,30.687,34.282,31.64,33.126,35.041,33.311,29.866,27.748,25.755,23.962,23.32,23.405,24.258,24.846,24.994,24.52,24.34,24.346
Suriname,96.422,93.367,89.875,79.724,77.158,80.478,83.662,82.41,78.707,78.848,76.108,72.157,70.221,68.235,66.226,64.169,60.634,58.04,58.416,58.651,60.131,60.34,60.866,58.077,56.966,56.028,56.137,55.223,54.262,53.422
Trinidad y Tabago,43.707,41.91,39.992,39.24,39.289,38.992,38.807,38.137,38.447,39.002,37.153,39.298,40.638,41.406,41.753,41.94,41.971,41.678,41.284,40.267,39.97,40.032,39.07,39.09,39.109,38.57,38.132,37.73,37.366,37.304
Uruguay,68.548,68.845,68.215,66.88,71.003,70.557,70.794,70.262,66.635,64.987,68.171,67.703,65.74,65.588,65.45,64.922,65.402,65.42,62.924,59.981,57.871,53.316,48.21,42.587,38.377,35.927,36.226,35.196,34.411,33.622
Venezuela (República Bolivariana de),93.933,94.381,95.026,95.905,98.541,96.234,93.875,92.935,90.151,90.442,94.324,96.178,95.735,96.428,97.064,96.868,95.743,96.062,95.08,92.555,90.609,89.135,88.435,86.243,85.343,84.075,82.715,82.006,81.965,81.678
